id,venue_county,event_type,live,zipcode,participate,codee,important,codeg,money,codeh,source,resource,name,email,trouble
,,,,,Storm King Arts Center,ag,,,,,,,,,
,,,,,,ag-s,,,,,,,,,
Beacon Open Studio,Dutchess,art,Cold Spring,10516,open studio tours,aos,galleries,ag,,,Philipstown. info ,,,,
,,,,,2nd Saturday,aos,music venues,vm,,,,,,,
,,,,,music,m,,,,,,,,,
Beacon Open Studio,Dutchess,art,Beacon,12508,open studio tours,aos,RiverWinds,ag,art studios,aos,,,,,
,,,,,2nd Saturday,aos,marlon royale,m-com,art school,aed,,,,,
,,,,,Towne Crier,v-com,Quinns,m-com,,,,,,,
,,,,,Dogwood Bar,v-com,Dogwood,**,,,,,,,
,,,,,Quinns for  live music,v-com,HOP,**,,,,,,,
,,,,,,m-live,Catalys,m-com,,,,,,,
,,,,,,,bank sq,,,,,,,,
,,,,,,,Towne Crier,,,,,,,,
Beacon Open Studio,Dutchess,art, Beacon,12508,open studio tours,aos,"
",,,,Beacon Free Press,,,,
,,,,,gallery openings,as,,,,,,,,,
Beacon Open Studio,Dutchess,art,Sleepy Hollow,10591,open studio tours,aos,galleries,ag,,,print,,,,
,,,,,,,open studio tours,aos,,,,,,,
,,,,,,,DIA,am,,,,,,,
Beacon Open Studio,Dutchess,art,Warwick,10990,open studio tours,aos,live music,m-live,live music,,print,,,,
,,,,,jazz festival,fm,art,a,,,,,,,
,,,,,,mg-j,,,,,,,,,
Beacon Open Studio,Dutchess,art,Warwick,10990,open studio tours,aos,,,sculpture garden,,radio,,,,
,,,,,galleries,ag,,,,,,,,,
,,,,,arts on the green,as,,,,,,,,,
Beacon Open Studio,Dutchess,art,Beacon,12508,exhibits,as,art exhibitions,as,,,web,,,,
,,,,,music,pm,openings,aos,,,social media,,,,
,,,,,performance,pd,,,,,email,,,,
,,,,,dance,,,,,,,,,,
Beacon Open Studio,Dutchess,art,Beacon,12508,,,,,,,Beacon Free Press,,,,
Beacon Open Studio,Dutchess,art,Wappingers Falls,12590,Beacon open studios,aos,Beacon open studios,aos,galleries,ag,BACA web page,,,,
,,,,,In the Pines,,in the pines riverfest,,,,fb,,,,
,,,,,Riverfest,,,,,,,,,,
Beacon Open Studio,Dutchess,art,Beacon,12500,RiverWinds,aos,2nd Saturday,aos,community arts center,ac,,,,,
,,,,,open studio tours,,open studio tours,,,,,,,,
,,,,,various shows,,,,,,,,,,
Beacon Open Studio,Dutchess,art,Beacon,12524,theater,t,,,playhouse theater,,print,,,,
,,,,,Library Events,v-lib,,,,,radio,,,,
,,,,,,,,,,,tv,,,,
Beacon Open Studio,Dutchess,art,New Windsor,12553,All,,,,Renewal of Newburgh,,web,,,,
,,,,,,,,,,,print,,,,
,,,,,,,,,,,email,,,,
Beacon Open Studio,Dutchess,art,Poughkeepsie,12601,2nd Saturday,ago,art and music,a,everything,,print,,,,
,,,,,,,,,,,radio,,,,
,,,,,,,,,,,tv,,,,
Beacon Open Studio,Dutchess,art,Beacon,12508,art shows,as,Howland Cultural Center,v-mp,"fine art studio
",,print,,,,
,,,,,music,,gallery events,ag,,,email,,,,
,,,,,,,glass blowing,ag-g,,,,,,,
Beacon Open Studio,Dutchess,art,Beacon,10508,,,,,,,,,,,
Beacon Open Studio,Dutchess,art,"Beacon
",10524,all,,music,m,,,web,,,,
,,,,,,,art and craft,a,,,radio,,,,
,,,,,,,,cft,,,social media,,,,
Beacon Open Studio,Dutchess,art,Beacon,12508,"
",,doggie parade,,art and music for children,ka,Beacon Free Press,,,,
,,,,,,,main st,,,km,,,,,
,,,,,,,windows on main,,,,,,,,
,,,,,,,river front anything,,,,,,,,
,,,,,,,trails,,,,,,,,
Beacon Open Studio,Dutchess,art,Beacon,12508,Beacon Arts,aos,Downing,v-flm,jewelry making classes,aw,AMH website,,,,
,,,,,Downing movies,v-flm,Art Centro,ac,metal and soldering,,Chronogram,,,,
,,,,,Art Centro,ac,,,,,,,,,
Beacon Open Studio,Dutchess,art,Beacon,12508,galleries,ag,Howland Cultural Center,v-mp,,,meetup.com,,,,
,,,,,2nd Saturday,aos,private galleries,ag,,,social media,,,,
,,,,,Beacon Open Studios,ago,library events,v-lib,,,PoJo,,,,
,,,,,live music,,bars,v-com,,,Beacon Free Press,,,,
,,,,,,,restaurants for music and arts,,,,BACA newsletter,,,,
,,,,,,,,,,,Beacon Arts,,,,
Beacon Open Studio,Dutchess,art,Poughkeepsie,12603,Queen City Arts,fa,Mid-Hudson Heritage Center,v-multi,art fairs,as,web,,,,
,,,,,,,Arts Centro,ag,,,social media,,,,
,,,,,,,,ag-c,,,print,,,,
,,,,,,,,aed,,,email,,,,
,,,,,,,,aw,,,,,,,
Greater NewB Symp,Dutchess,music,New Windsor,12553,Greater Newburgh Symphony,vm,art shows,as,,,print,,,,
,,,,,,,art fairs,fa,,,email,,,,
Greater NewB Symp,Orange,music,Newburgh,12550,Open Air Music,e-out,Orchestral,m,,,,,,,
,,,,,Orchestral,pm,Jazz,mg-j,,,,,,,
,,,,,,,art fair,fa,,,,,,,
,,,,,,,Newburgh Illuminate,fm,,,,,,,
Greater NewB Symp,Orange,music,Fishkill,12524,Mount Saint Mary,vc,music,a,classical music,as,print,,,,
,,,,,Howland Cultural Center,v-mp,art and craft,,art shows,,,,,,
,,,,,Bardavon,v-multi,,,,,,,,,
,,,,,UPAC,v-multi,,,,,,,,,
,,,,,New Paltz,vc,,,,,,,,,
Greater NewB Symp,Orange,music,Middletown,12940,jazz concerts,mc,OCCC,vc,,,web,,,,
,,,,,plays,mg-j,Thrall library,vl,,,social media,,,,
,,,,,Museum Village,v-mu,Newburgh library,vl,,,print,,,,
,,,,,OCCC concerts,cv,Montgomery concerts,mc,,,email,,,,
,,,,,Montgomery concerts,mc,,,,,,,,,
,,,,,,mc,,,,,,,,,
,,,,,,,,,,,,,,,
Greater NewB Symp,Orange,music,Newburgh,12550,concert,mc,Greater Newburgh Symphony,mc,concerts,mc,print,,,,
,,,,,lectures,v-lec,Downing Park events,mg-sy,,,email,,,,
,,,,,,,Beacon waterfront,c-t,,,,,,,
,,,,,,,Mount Saint Mary College,c-t,,,,,,,
,,,,,,,,vc,,,,,,,
Greater NewB Symp,Orange,music,Bloomingburg,12721,Montgomery Concerts,mc,Montgomery music series,m-cs,better financial support for what's already here,,Deleware and Hudson Canvas,,,,
,,,,,Mid,m-cs,,,,,Times Herald Record,,,,
,,,,,Hudson Classical Guitar series,,,,,,,,,,
Greater NewB Symp,Orange,music,Fishkill,12524,Eisenhower Hall,vm,,,,,web,,,,
,,,,,Howland Cultural Center,v-mp,,,,,social media,,,,
,,,,,,,,,,,print,,,,
Greater NewB Symp,Orange,music,Fishkill,12524,musical performances,as,,,live music,m-live,,,,,
,,,,,art events mainly in Beacon area,,,,theater,t,,,,,
Greater NewB Symp,Orange,music,Pine Island,10969,Greater Newburgh Symphony,mg-sy,,,,,,,,,
,,,,,West Point,mc,,,,,,,,,
,,,,,local classical school concerts,vs,,,,,,,,,
Greater NewB Symp,Orange,music,Bloomingburg,12721,All classical music in Orange and Sullivan counties,mg-c,Mt. Saint Mary College,vc,,,Canvas,,,,
,,,,,,,SUNY Orange - Middletown,vc,,,email,,,,
Greater NewB Symp,Orange,music,Fishkill,12524,classical music,mg-c,Vassar,vc,classical music,mc,PoJo,,,,
,,,,,Eastern European folk music,mg-f,Bardavon,v-multi,traditional jazz,mg-j,mailing lists,,,,
,,,,,dance,d,Bard College,vc,ballet,pb,,,,,
,,,,,ballet,db,Upstate Films,v-flm,international music,m,,,,,
,,,,,opera,mg-o,Center for the Performing Arts at Rhinebeck,vt,international dance,d,,,,,
,,,,,theater,t,Greater Newburgh Symphony,mg-sy,,,,,,,
,,,,,art (painting),a,chamber,mg-chm,,,,,,,
,,,,,jazz (traditional),mg-j,Caramoor,m,,,,,,,
,,,,,,,West Point,m,,,,,,,
,,,,,,,,m,,,,,,,
Greater NewB Symp,Orange,music,Wallkill,12589,church choir,v-ch,,,,,print,,,,
,,,,,theater,t,,,,,radio,,,,
,,,,,concerts,mc,,,,,,,,,
greater NewB Symp,Orange,music,Montgomery,12549,"
",,chamber concerts,mg-chm,,,web,,,,
,,,,,,,Greater Newburgh Symphony,mc,,,print,,,,
,,,,,,,Downing Cinema,mg-sy,,,,,,,
,,,,,,,Wallkill Arts Center,v-flm,,,,,,,
,,,,,,,,ac,,,,,,,
Greater NewB Symp,Orange,music,Montgomery,12549,Greater Newburgh Symphony,mg-sy,Greater Newburgh Symphony,m-grp,music,m,Times Herald Recond,,,,
,,,,,chamber concerts,mg-chm,,mg-sy,,,WOSR 91.7FM,,,,
,,,,,Wallkill Arts Center,ac,,,,,,,,,
,,,,,DIA,am,,,,,,,,,
Greater NewB Symp,Orange,music,Newburgh,12589,West Point Presentations,vm,Mt. Saint Mary has the most to offer,mc,,,print,,,,
,,,,,Bard College,vc,,vc,,,radio,,,,
,,,,,Live music performances,m-live,,,,,,,,,
Greater NewB Symp,Orange,music,Monroe,10950,attend many programs arranged and produced through Orange County Arts,,Storm King Arts Center,ag,performing arts theater,"v-mp
",web,,,,
,,,,,,,Lyceum Theater,ag-s,,,email,,,,
,,,,,,,,tg,,,,,,,
Greater NewB Symp,Orange,music,Washingtonville,10992,concerts,mc,Greater Newburgh Symphony,mc,,,,,,,
,,,,,festivals,f,,mg-sy,,,,,,,
,,,,,antiquing,**,,,,,,,,,
Greater NewB Symp,Orange,music,Monroe,10950,Greater Newburgh Symphony,mg-sy,,,,,print,,,,
,,,,,Encore Dance Center,pd,,,,,tv,,,,
,,,,,,,,,,,email,,,,
Greater NewB Symp,Orange,music,Newburgh,12550,Choral group,mg,,,,,web Times Herald Record,,,,
,,,,,Greater Newburgh Symphony rock?,mg-sy,,,,,fb,,,,
Greater NewB Symp,Orange,music,"New Windsor
",12553,Greater Newburgh Symphony,mg-sy,Mount Saint Mary ,vc,,,print,,,,
,,,,,,,,,,,tv,,,,
,,,,,,,,,,,email,,,,
Greater NewB Symp,Orange,music,New Windsor,12553,Mount Saint Mary College,vc,Greater Newburgh Symphony,mg-sy,,,print,,,,
,,,,,,,Trestle inc.,ac,,,radio,,,,
,,,,,,,Ritz theater,t,,,,,,,
,,,,,,,Safe Harbors,ac **,,,,,,,
,,,,,,,Cornerstone,t,,,,,,,
,,,,,,,vespers at Christmas,mg-mus,,,,,,,
,,,,,,,Depot Theatre (Garrison),vc,,,,,,,
,,,,,,,necsd (musicals),a,,,,,,,
,,,,,,,Mt. Saint Mary college,m,,,,,,,
,,,,,,,arts (fine and performing),**,,,,,,,
,,,,,,,Newburgh Chorale,fm,,,,,,,
,,,,,,,historical society events,,,,,,,,
,,,,,,,Newburgh Illuminated,,,,,,,,
Greater NewB Symp,Orange,music,Newburgh,12589,Greater Newburgh Symphony,mg-sy,Greater Newburgh Symphony,mg-sy,theater,t,print,,,,
,,,,,Washington Monument,c-t,Washington monument,c-t,musicals,tm,email,,,,
,,,,,St. Mary's youth group,mg,Trestle inc. library arts,ac,museums,v-mu,,,,,
,,,,,Downing movies,v-mo,st. mary's youth group,vl,,,,,,,
,,,,,Bethal Woods,vt,young palettes,**,,,,,,,
,,,,,,,Depot Theater (Garrison),tc,,,,,,,
Greater NewB Symp,Orange,music, Newburgh,12550,Trestle inc,ac,Greater Newburgh Symphony,mg-sy,Trestle mural by waterfront,ac,web,,,,
,,,,,,,Trestle inc.,ac,young palettes,,email,,,,
,,,,,,,Ritz theater,t,sound and story project,,word of mouth,,,,
,,,,,,,Safe Harbors,**,capture story of Newburgh Trestle,,,,,,
,,,,,,,Cornerstone,**,,,,,,,
,,,,,,,vespers at Christmas,vt,,,,,,,
,,,,,,,RR playhouse (Garrison),m,,,,,,,
,,,,,,,NECSD (musicals),vc,,,,,,,
,,,,,,,Mt. Saint Mary college,m,,,,,,,
,,,,,,,arts (fine and performing),fm,,,,,,,
,,,,,,,Newburgh Chorale,,,,,,,,
,,,,,,,historical society events,,,,,,,,
,,,,,,,Newburgh Illuminated,,,,,,,,
Greater NewB Symp,Orange,music,Newburgh,12550,Greater Newburgh Symphony,mg-sy,Greater Newburgh Symphony,mg-sy,theater for plays,t,web,,,,
,,,,,Bethel Woods,vt,mural,ag-mu,museum,v-mu,radio,,,,
,,,,,Downing movies,v-flm,young palettes,agrp,,,tv,,,,
,,,,,Washington Monument,c-t,musicals at schools,m,,,email,,,,
,,,,,Newburgh Library,vl,Trestle inc.,ac,,,,,,,
,,,,,school plays,vs,,,,,,,,,
